State,PVI,Clinton %,Trump %,Obama%,Romney%
Alabama,R+14,34.4,62.1,38.4,60.6
Alaska,R+9,36.6,51.3,40.8,54.8
Arizona,R+5,45.1,48.7,44.6,53.7
Arkansas,R+15,33.7,60.6,36.9,60.6
California,D+12,61.7,31.6,60.2,37.1
Colorado,D+1,48.2,43.3,51.5,46.1
Connecticut,D+6,54.6,40.9,58.1,40.8
Delaware,D+6,53.4,41.9,58.6,40
District of Columbia,D+43,90.9,4.1,90.9,7.3
Florida,R+2,47.8,49,50,49.1
Georgia,R+5,45.9,51,45.5,53.3
Hawaii,D+18,62.2,30,70.6,27.8
Idaho,R+19,27.5,59.3,32.6,64.5
Illinois,D+7,55.8,38.8,57.6,40.7
Indiana,R+9,37.8,56.9,43.9,54.1
Iowa,R+3,41.7,51.1,52,46.2
Kansas,R+13,36.1,56.7,38,59.7
Kentucky,R+15,32.7,62.5,37.8,60.5
Louisiana,R+11,38.4,58.1,40.6,57.8
Maine,D+3,47.8,44.9,56.3,41
Maryland,D+12,60.3,33.9,62,35.9
Massachusetts,D+12,60,32.8,60.7,37.5
Michigan,D+1,47.3,47.5,54.2,44.7
Minnesota,D+1,46.4,44.9,52.7,45
Mississippi,R+9,40.1,57.9,43.8,55.3
Missouri,R+9,38.1,56.8,44.4,53.8
Montana,R+11,35.7,56.2,41.7,55.4
Nebraska,R+14,33.7,58.7,38,59.8
Nevada,D+1,47.9,45.5,52.4,45.7
New Hampshire,EVEN,46.8,46.5,52,46.4
New Jersey,D+7,55.5,41.4,58.4,40.6
New Mexico,D+3,48.3,40,53,42.8
New York,D+11,59,36.5,63.4,35.2
North Carolina,R+3,46.2,49.8,48.4,50.4
North Dakota,R+17,27.2,63,38.7,58.3
Ohio,R+3,43.6,51.7,50.7,47.7
Oklahoma,R+20,28.9,65.3,33.2,66.8
Oregon,D+5,50.1,39.1,54.2,42.2
Pennsylvania,EVEN,47.9,48.6,52,46.6
Rhode Island,D+10,54.4,38.9,62.7,35.2
South Carolina,R+8,40.7,54.9,44.1,54.6
South Dakota,R+14,31.7,61.5,39.9,57.9
Tennessee,R+14,34.7,60.7,39.1,59.5
Texas,R+8,43.2,52.2,41.4,57.2
Utah,R+20,27.5,45.5,24.8,72.8
Vermont,D+15,56.7,30.3,66.6,31
Virginia,D+1,49.8,44.4,51.2,47.3
Washington,D+7,51.8,36.3,56.2,41.3
West Virginia,R+19,26.5,68.6,35.5,62.3
Wisconsin,EVEN,46.5,47.2,52.8,45.9
Wyoming,R+25,21.9,68.2,27.8,68.6
